"","year","song","artist","peak_pos","weeks_on_chart","instance"
"451",2011,"Aston Martin Music","Rick Ross Featuring Drake & Chrisette Michele",98,20,2
"452",2018,"Astronauts","Future & Juice WRLD",82,1,1
"453",2018,"Astrothunder","Travis Scott",48,1,1
"454",2009,"At Last","Beyonce",67,1,1
"455",2016,"At Last","Sundance Head",89,1,1
"456",2013,"At Last","Will Champlin",83,1,1
"457",2017,"At My Best","Machine Gun Kelly Featuring Hailee Steinfeld",94,8,2
"458",2018,"At The Club","Jacquees X Dej Loaf",92,7,1
"459",2013,"Atlas","Coldplay",75,2,1
"460",2018,"ATM","J. Cole",6,5,1
"461",2018,"Attention","Charlie Puth",68,39,1
"462",2016,"Attention","The Weeknd",67,2,1
"463",2000,"Auld Lang Syne","Kenny G",54,5,1
"464",2001,"Austin","Blake Shelton",98,20,1
"465",2018,"Auto Pilot","Migos",85,1,1
"466",2014,"Automatic","Miranda Lambert",97,19,2
"467",2013,"Aw Naw","Chris Young",97,20,1
"468",2009,"Awake And Alive","Skillet",100,1,1
"469",2004,"Away From Me","Puddle Of Mudd",74,16,1
"470",2004,"Away From The Sun","3 Doors Down",66,15,1
"471",2017,"Awful Things","Lil Peep",79,1,1
"472",2005,"Awful, Beautiful Life","Darryl Worley",72,20,1
"473",2002,"Awnaw","Nappy Roots",97,20,1
"474",2005,"Axel F","Crazy Frog",80,7,1
"475",2007,"Ay Chico (Lengua Afuera)","Pitbull",99,6,2
"476",2015,"Ayo","Chris Brown & Tyga",40,20,1
"477",2008,"Ayo Technology","50 Cent Featuring Justin Timberlake & Timbaland",22,20,1
"478",2012,"Ayy Ladies","Travis Porter Featuring Tyga",88,19,1
"479",2003,"B R Right","Trina Featuring Ludacris",98,14,1
"480",2017,"B.E.D.","Jacquees",94,13,1
"481",2010,"B.M.F. (Blowin' Money Fast)","Rick Ross Featuring Styles P",98,16,1
"482",2005,"B.Y.O.B.","System Of A Down",74,20,1
"483",2015,"B**** Better Have My Money","Rihanna",23,23,1
"484",2015,"B**** I'm Madonna","Madonna Featuring Nicki Minaj",84,2,1
"485",2018,"Babe","Sugarland Featuring Taylor Swift",95,2,2
"486",2012,"Babel","Mumford & Sons",60,5,1
"487",2002,"Baby","Ashanti",74,22,1
"488",2005,"Baby","Fabolous Featuring Mike Shorey",83,9,1
"489",2011,"Baby","Glee Cast",47,1,1
"490",2010,"Baby","Justin Bieber Featuring Ludacris",5,20,1
"491",2008,"Baby","LL Cool J Featuring The-Dream",97,11,1
"492",2015,"Baby Be My Love Song","Easton Corbin",99,16,1
"493",2015,"Baby Blue","Action Bronson Featuring Chance The Rapper",91,1,1
"494",2004,"Baby Boy","Beyonce Featuring Sean Paul",57,29,1
"495",2010,"Baby By Me","50 Cent Featuring Ne-Yo",31,13,1
"496",2000,"Baby Don't Cry (Keep Ya Head Up II)","2Pac + Outlawz",87,7,1
"497",2008,"Baby Don't Go","Fabolous Featuring Jermaine Dupri",81,20,1
"498",2014,"Baby Don't Lie","Gwen Stefani",46,6,1
"499",2005,"Baby Girl","Sugarland",99,20,1
"500",2013,"Baby I","Ariana Grande",94,3,2
"501",2004,"Baby I Love U","Jennifer Lopez",72,4,1
"502",2005,"Baby I'm Back","Baby Bash Featuring Akon",97,25,1
"503",2014,"Baby It's Cold Outside","Idina Menzel Duet With Michael Buble",78,1,1
"504",2005,"Baby It's You","JoJo Featuring Bow Wow",70,18,1
"505",2005,"Baby Mama","Fantasia",99,12,1
"506",2010,"Baby One More Time","Glee Cast",54,1,1
"507",2019,"Baby Shark","Pinkfong",32,20,1
"508",2000,"Baby U Are","Gerald Levert",96,5,1
"509",2001,"Baby, Come Over (This Is Our Night)","Samantha Mumba",68,17,1
"510",2011,"Baby, It's Cold Outside","Glee Cast",57,2,1
"511",2001,"Babylon","David Gray",73,18,1
"512",2019,"Bacc At It Again","Yella Beezy, Gucci Mane & Quavo",94,3,1
"513",2000,"Back At One","Brian McKnight",2,37,1
"514",2000,"Back At One","Mark Wills",98,20,2
"515",2000,"Back Here","BBMak",99,31,1
"516",2012,"Back In Time","Pitbull",83,20,2
"517",2015,"Back It Up","Prince Royce Featuring Jennifer Lopez & Pitbull",98,2,2
"518",2006,"Back Like That","Ghostface Killah Featuring Ne-Yo",76,10,1
"519",2016,"Back On Road","Gucci Mane & Drake",81,1,1
"520",2000,"Back That Thang Up","Juvenile Featuring Mannie Fresh & Lil' Wayne",19,30,1
"521",2005,"Back Then","Mike Jones",91,20,1
"522",2016,"Back To Back","Drake",21,20,1
"523",2011,"Back To Black","Glee Cast",82,1,1
"524",2011,"Back To December","Taylor Swift",74,20,2
"525",2016,"Back To Sleep","Chris Brown",64,20,1
"526",2017,"Back To You","Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals",40,10,1
"527",2018,"Back To You","Selena Gomez",50,26,1
"528",2016,"Back Up","DeJ Loaf Featuring Big Sean",83,18,1
"529",2005,"Back When","Tim McGraw",74,19,1
"530",2008,"Back When I Knew It All","Montgomery Gentry",98,18,1
"531",2019,"Backin' It Up","Pardison Fontaine Featuring Cardi B",95,20,2
"532",2016,"Backroad Song","Granger Smith",93,16,1
"533",2011,"Backseat","New Boyz Featuring The Cataracs & Dev",37,20,1
"534",2010,"Backwoods","Justin Moore",100,13,1
"535",2012,"Bad","Glee Cast",80,1,1
"536",2013,"Bad","Wale Featuring Tiara Thomas Or Rihanna",99,26,2
"537",2017,"Bad And Boujee","Migos Featuring Lil Uzi Vert",76,36,1
"538",2013,"Bad Ass","Kid Ink Featuring Meek Mill & Wale",90,1,1
"539",2018,"Bad At Love","Halsey",81,32,1
"540",2015,"Bad B*tch","French Montana Featuring Jeremih",95,1,1
"541",2014,"Bad Blood","Bastille",95,1,1
"542",2015,"Bad Blood","Taylor Swift Featuring Kendrick Lamar",80,25,3
"543",2001,"Bad Boy For Life","P. Diddy, Black Rob & Mark Curry",70,12,1
"544",2003,"Bad Boy This Bad Boy That","Bad Boy's Da Band",60,9,1
"545",2000,"Bad Boyz","Shyne Featuring Barrington Levy",94,15,1
"546",2008,"Bad Day","Alvin And The Chipmunks",67,2,1
"547",2006,"Bad Day","Daniel Powter",55,32,1
"548",2001,"Bad Day","Fuel",73,20,1
"549",2013,"Bad Day","Justin Bieber",53,1,1
"550",2015,"Bad For You","Meek Mill Featuring Nicki Minaj",96,2,1
"551",2009,"Bad Girlfriend","Theory Of A Deadman",100,17,3
"552",2019,"Bad Guy","Billie Eilish",7,11,1
"553",2010,"Bad Habits","Maxwell",99,14,2
"554",2019,"Bad Idea","Ariana Grande",27,3,1
"555",2019,"Bad Liar","Imagine Dragons",79,9,2
"556",2017,"Bad Liar","Selena Gomez",80,14,1
"557",2019,"Bad Luck","Khalid",87,1,1
"558",2010,"Bad Romance","Glee Cast",86,2,1
"559",2017,"Bad Romance","Lady Gaga",50,35,2
"560",2017,"Bad Things","Machine Gun Kelly x Camila Cabello",80,23,2
"561",2019,"BAD!","XXXTENTACION",97,11,2
"562",2004,"Badaboom","B2K Featuring Fabolous",91,8,1
"563",2005,"Badd","Ying Yang Twins Featuring Mike Jones & Mr. ColliPark",92,19,1
"564",2000,"Bag Lady","Erykah Badu",67,20,1
"565",2012,"Bag Of Money","Wale Featuring Rick Ross, Meek Mill & T-Pain",93,13,1
"566",2012,"Baggage Claim","Miranda Lambert",67,20,1
"567",2019,"Baila Baila Baila","Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA",69,7,1
"568",2014,"Bailando","Enrique Iglesias Featuring Descemer Bueno & Gente de Zona",81,30,1
"569",2012,"Bait A Hook","Justin Moore",100,10,2
"570",2016,"Bake Sale","Wiz Khalifa Featuring Travi$ Scott",74,2,2
"571",2013,"Ball","T.I. Featuring Lil Wayne",50,20,1
"572",2018,"Ball For Me","Post Malone Featuring Nicki Minaj",16,14,1
"573",2005,"Balla Baby","Chingy",67,18,1
"574",2011,"Ballin'","Young Jeezy Featuring Lil Wayne",98,5,2
"575",2001,"Ballin' Out Of Control","Jermaine Dupri Featuring Nate Dogg",98,5,2
"576",2017,"Bam","JAY-Z Featuring Damian ""Jr. Gong"" Marely",47,1,1
"577",2013,"Bandz A Make Her Dance","Juicy J Featuring Lil Wayne & 2 Chainz",71,20,1
"578",2015,"Bang Bang","Jessie J, Ariana Grande & Nicki Minaj",6,31,1
"579",2011,"Bang Bang Bang","Selena Gomez & The Scene",94,1,1
"580",2011,"Bang Bang Pow Pow","T-Pain Featuring Lil Wayne",48,2,1
"581",2016,"Bang My Head","David Guetta Featuring Sia & Fetty Wap",98,6,1
"582",2012,"Bangarang","Skrillex Featuring Sirah",98,20,3
"583",2012,"Banjo","Rascal Flatts",63,17,1
"584",2018,"Bank Account","21 Savage",33,28,1
"585",2017,"Bar At The End Of The World","Kenny Chesney",92,1,1
"586",2018,"Barbie Dreams","Nicki Minaj",18,7,1
"587",2018,"Barbie Tingz","Nicki Minaj",84,4,2
"588",2011,"Barbra Streisand","Duck Sauce",89,1,1
"589",2017,"Barcelona","Ed Sheeran",96,1,1
"590",2009,"Barefoot And Crazy","Jack Ingram",98,12,1
"591",2011,"Barefoot Blue Jean Night","Jake Owen",96,24,2
"592",2014,"Bartender","Lady Antebellum",78,20,1
"593",2007,"Bartender","T-Pain Featuring Akon",97,22,1
"594",2008,"Bartender Song","Rehab",94,20,1
"595",2018,"Bartier Cardi","Cardi B Featuring 21 Savage",14,20,1
"596",2011,"Bass Down Low","Dev Featuring The Cataracs",99,12,2
"597",2006,"Bat Country","Avenged Sevenfold",87,15,1
"598",2013,"Battle Scars","Lupe Fiasco & Guy Sebastian",99,20,2
"599",2009,"Battlefield","Jordin Sparks",32,22,1
"600",2008,"BB Good","Jonas Brothers",88,1,1
"601",2018,"BBO (Bad Bitches Only)","Migos Featuring 21 Savage",48,2,1
"602",2016,"Be Alright","Ariana Grande",43,1,1
"603",2019,"Be Alright","Dean Lewis",94,29,1
"604",2018,"Be Careful","Cardi B",16,20,1
"605",2007,"Be Good To Me","Ashley Tisdale",96,2,1
"606",2002,"Be Here","Raphael Saadiq Featuring D'Angelo",99,2,1
"607",2019,"Be Like Me","Lil Pump Featuring Lil Wayne",72,1,1
"608",2001,"Be Like That","3 Doors Down",72,21,1
"609",2005,"Be My Escape","Relient K",88,4,1
"610",2008,"Be OK","Ingrid Michaelson",91,1,1
"611",2009,"Be On You","Flo Rida Featuring Ne-Yo",90,16,2
"612",2015,"Be Real","Kid Ink Featuring DeJ Loaf",96,20,1
"613",2000,"Be With You","Enrique Iglesias",63,20,1
"614",2006,"Be Without You","Mary J. Blige",93,33,1
"615",2005,"Be Yourself","Audioslave",100,18,1
"616",2014,"Beachin'","Jake Owen",94,20,1
"617",2010,"Beamer, Benz, Or Bentley","Lloyd Banks Featuring Juelz Santana",92,16,2
"618",2017,"Beast Mode","A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again",86,1,1
"619",2008,"Beat It","Fall Out Boy Featuring John Mayer",22,7,1
"620",2013,"Beat It","Sean Kingston Featuring Chris Brown & Wiz Khalifa",98,18,2
"621",2014,"Beat Of The Music","Brett Eldredge",97,20,1
"622",2013,"Beat This Summer","Brad Paisley",99,20,2
"623",2014,"Beating Heart","Ellie Goulding",98,3,1
"624",2009,"Beautiful","Akon Featuring Colby O'Donis & Kardinal Offishall",19,22,1
"625",2019,"Beautiful","Bazzi Featuring Camila Cabello",60,27,1
"626",2012,"Beautiful","Carly Rae Jepsen Featuring Justin Bieber",87,1,1
"627",2003,"Beautiful","Christina Aguilera",62,27,1
"628",2011,"Beautiful","Christina Aguilera & Beverly McClellan",74,1,1
"629",2009,"Beautiful","Eminem",98,6,3
"630",2010,"Beautiful","Glee Cast",61,1,1
"631",2003,"Beautiful","Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson",69,20,1
"632",2019,"Beautiful Crazy","Luke Combs",97,31,3
"633",2010,"Beautiful Day","Lee DeWyze",24,2,1
"634",2001,"Beautiful Day","U2",75,25,1
"635",2016,"Beautiful Drug","Zac Brown Band",100,20,2
"636",2007,"Beautiful Flower","India.Arie",56,1,1
"637",2007,"Beautiful Girls","Sean Kingston",83,22,1
"638",2003,"Beautiful Goodbye","Jennifer Hanson",97,10,1
"639",2011,"Beautiful Lasers (2 Ways)","Lupe Fiasco Featuring MDMA",70,1,1
"640",2007,"Beautiful Liar","Beyonce & Shakira",94,18,1
"641",2015,"Beautiful Life","Nick Fradiani",93,1,1
"642",2006,"Beautiful Love","The Afters",94,7,2
"643",2002,"Beautiful Mess","Diamond Rio",78,20,1
"644",2010,"Beautiful Monster","Ne-Yo",67,9,1
"645",2015,"Beautiful Now","Zedd Featuring Jon Bellion",89,14,2
"646",2013,"Beautiful Pain","Eminem Featuring Sia",99,1,1
"647",2011,"Beautiful People","Chris Brown Featuring Benny Benassi",43,4,1
"648",2005,"Beautiful Soul","Jesse McCartney",72,20,1
"649",2018,"Beautiful Trauma","P!nk",95,15,2
"650",2013,"Beauty And A Beat","Justin Bieber Featuring Nicki Minaj",72,24,2
"651",2017,"Beauty And The Beast","Ariana Grande & John Legend",87,1,1
"652",2018,"BEBE","6ix9ine Featuring Anuel AA",86,5,2
"653",2001,"Because I Got High","Afroman",67,10,1
"654",2006,"Because Of You","Kelly Clarkson",99,37,1
"655",2007,"Because Of You","Ne-Yo",84,20,1
"656",2007,"Because Of You","Reba McEntire Duet With Kelly Clarkson",52,15,1
"657",2000,"Because You Love Me","Jo Dee Messina",83,13,1
"658",2008,"Bed","J. Holiday",89,23,1
"659",2018,"Bed","Nicki Minaj Featuring Ariana Grande",43,10,1
"660",2010,"Bed Intruder Song","Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson",92,3,2
"661",2015,"Bed Of Lies","Nicki Minaj Featuring Skylar Grey",70,6,2
"662",2010,"BedRock","Young Money Featuring Lloyd",36,25,1
"663",2017,"Bedroom Floor","Liam Payne",98,1,1
"664",2000,"Been There","Clint Black With Steve Wariner",87,20,1
"665",2015,"Been You","Justin Bieber",81,1,1
"666",2009,"Beep","Bobby V Featuring Yung Joc",97,12,2
"667",2006,"Beep","The Pussycat Dolls Featuring will.i.am",93,20,1
"668",2003,"Beer For My Horses","Toby Keith Duet With Willie Nelson",74,20,1
"669",2007,"Beer In Mexico","Kenny Chesney",98,17,1
"670",2013,"Beer Money","Kip Moore",99,20,1
"671",2019,"Beer Never Broke My Heart","Luke Combs",68,6,1
"672",2012,"Beers Ago","Toby Keith",95,15,1
"673",2012,"Beez In The Trap","Nicki Minaj Featuring 2 Chainz",78,20,1
"674",2007,"Before He Cheats","Carrie Underwood",92,64,1
"675",2019,"Before I Let Go","Beyonce",75,8,1
"676",2007,"Before It's Too Late (Sam And Mikaela's Theme)","Goo Goo Dolls",86,3,1
"677",2015,"Beg For It","Iggy Azalea Featuring M0",92,16,1
"678",2009,"Beggin'","Madcon",95,10,1
"679",2011,"Beggin' On Your Knees","Victorious Cast Featuring Victoria Justice",83,4,1
"680",2013,"Begin Again","Taylor Swift",68,20,2
"681",2004,"Behind Blue Eyes","Limp Bizkit",72,11,1
"682",2005,"Behind These Hazel Eyes","Kelly Clarkson",87,34,1
"683",2017,"Beibs In The Trap","Travis Scott",93,3,1
"684",2006,"Believe","Brooks & Dunn",97,20,2
"685",2015,"Believe","Mumford & Sons",31,15,1
"686",2008,"Believe","Staind",95,3,2
"687",2014,"Believe Me","Lil Wayne Featuring Drake",36,20,1
"688",2018,"Believer","Imagine Dragons",43,51,1
"689",2017,"Bella y Sensual","Romeo Santos Featuring Nicky Jam & Daddy Yankee",95,1,1
"690",2013,"Bellas Finals: Price Tag / Don't You (Forget About Me)...","The Barden Bellas",96,6,1
"691",2018,"Belly","Lil Baby & Gunna",80,1,1
"692",2005,"Belly Dancer (Bananza)","Akon",98,20,1
"693",2014,"Bend Ova","Lil Jon Featuring Tyga",92,3,1
"694",2013,"Beneath Your Beautiful","Labrinth Featuring Emeli Sande",100,14,3
"695",2001,"Bent","matchbox twenty",60,39,1
"696",2014,"Berzerk","Eminem",3,20,1
"697",2014,"Best Day Of My Life","American Authors",93,36,1
"698",2009,"Best Days Of Your Life","Kellie Pickler",50,20,1
"699",2006,"Best Friend","50 Cent & Olivia",72,15,1
"700",2000,"Best Friend","Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe",65,5,1
"701",2018,"Best Friend","Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",100,5,1
"702",2016,"Best Friend","Young Thug",98,20,1
"703",2011,"Best Friend's Brother","Victorious Cast Featuring Victoria Justice",93,4,1
"704",2015,"Best Friends","Sophia Grace",87,1,1
"705",2009,"Best I Ever Had","Drake",92,24,1
"706",2006,"Best I Ever Had","Gary Allan",98,18,2
"707",2013,"Best I Ever Had","Gavin DeGraw",88,5,2
"708",2001,"Best I Ever Had (Grey Sky Morning)","Vertical Horizon",65,16,1
"709",2018,"Best Life","Cardi B Featuring Chance The Rapper",39,3,1
"710",2011,"Best Love Song","T-Pain Featuring Chris Brown",33,20,1
"711",2014,"Best Mistake","Ariana Grande Featuring Big Sean",94,2,2
"712",2007,"Best Of Both Worlds","Hannah Montana",99,2,2
"713",2001,"Best Of Intentions","Travis Tritt",97,22,1
"714",2000,"Best Of Me","Mya Featuring Jadakiss",85,17,1
"715",2005,"Best Of You","Foo Fighters",51,21,1
"716",2018,"Best Part","Daniel Caesar Featuring H.E.R.",81,19,1
"717",2019,"Best Shot","Jimmie Allen",97,20,1
"718",2014,"Best Song Ever","One Direction",94,21,3
"719",2011,"Best Thing I Never Had","Beyonce",84,20,1
"720",2010,"Bet I","B.o.B Featuring T.I. & Playboy Tre",72,1,1
"721",2007,"Bet On It","Zac Efron",66,3,1
"722",2006,"Betcha Can't Do It Like Me","D4L",99,8,1
"723",2010,"Beth","Glee Cast",72,1,1
"724",2018,"Betrayed","Lil Xan",93,19,1
"725",2019,"Better","Khalid",45,39,1
"726",2008,"Better As A Memory","Kenny Chesney",87,17,1
"727",2006,"Better Days","Goo Goo Dolls",57,20,1
"728",2013,"Better Dig Two","The Band Perry",53,20,1
"729",2009,"Better In Time","Leona Lewis",75,31,2
"730",2006,"Better Life","Keith Urban",98,20,1
"731",2017,"Better Man","Little Big Town",54,20,1
"732",2019,"Better Now","Post Malone",7,52,1
"733",2000,"Better Off Alone","Alice Deejay",79,20,1
"734",2012,"Better Than I Know Myself","Adam Lambert",76,1,1
"735",2012,"Better Than I Used To Be","Tim McGraw",81,20,2
"736",2007,"Better Than Me","Hinder",95,20,1
"737",2010,"Better Than Revenge","Taylor Swift",56,1,1
"738",2011,"Better With The Lights Off","New Boyz Featuring Chris Brown",76,19,2
"739",2001,"Between Me And You","Ja Rule Featuring Christina Milian",85,20,1
"740",2013,"Between The Raindrops","Lifehouse Featuring Natasha Bedingfield",100,2,2
"741",2006,"Beverly Hills","Weezer",25,43,1
"742",2013,"Beware","Big Sean Featuring Lil Wayne & Jhene Aiko",100,20,2
"743",2003,"Beware Of The Boys (Mundian To Bach Ke)","Panjabi MC Featuring Jay-Z",97,12,1
"744",2001,"Bia' Bia'","Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",94,3,1
"745",2018,"Bickenhead","Cardi B",43,2,1
"746",2018,"Big Bank","YG Featuring 2 Chainz, Big Sean & Nicki Minaj",66,24,2
"747",2005,"Big Blue Note","Toby Keith",94,12,1
"748",2004,"Big Chips","R. Kelly & Jay-Z",63,9,1
"749",2000,"Big Deal","LeAnn Rimes",23,20,1
"750",2008,"Big Girls Don't Cry","Fergie",41,48,1
"751",2009,"Big Green Tractor","Jason Aldean",85,20,1
"752",2002,"Big Machine","Goo Goo Dolls",70,6,1
"753",2011,"Big Night","Big Time Rush",79,1,1
"754",2019,"Big Ole Freak","Megan Thee Stallion",99,10,1
"755",2000,"Big Pimpin'","Jay-Z Featuring UGK",69,20,1
"756",2016,"Big Rings","Drake & Future",75,20,1
"757",2018,"Big Shot","Kendrick Lamar & Travis Scott",71,2,1
"758",2003,"Big Star","Kenny Chesney",65,20,1
"759",2007,"Big Things Poppin' (Do It)","T.I.",30,19,1
"760",2003,"Big Yellow Taxi","Counting Crows Featuring Vanessa Carlton",63,20,1
"761",2009,"Bigger","Justin Bieber",94,1,1
"762",2018,"Bigger > You","2 Chainz, Drake & Quavo",53,2,1
"763",2004,"Bigger Than My Body","John Mayer",66,20,1
"764",2018,"Biggest Alley Oop","Quavo",86,1,1
"765",2010,"Bill Gates","Lil Wayne",75,1,1
"766",2008,"Billie Jean","David Cook",47,1,1
"767",2014,"Billie Jean","Michael Jackson",14,25,2
"768",2010,"Billionaire","Glee Cast",28,1,1
"769",2010,"Billionaire","Travie McCoy Featuring Bruno Mars",92,27,1
"770",2015,"Bills","LunchMoney Lewis",95,6,1
"771",2011,"Bills, Bills, Bills","Glee Cast",79,2,1
"772",2018,"Billy","6ix9ine",60,8,1
"773",2005,"Billy's Got His Beer Goggles On","Neal McCoy",98,9,1
"774",2010,"Bionic","Christina Aguilera",66,1,1
"775",2014,"Birthday","Katy Perry",91,18,1
"776",2012,"Birthday Cake","Rihanna Featuring Chris Brown",63,20,1
"777",2009,"Birthday Sex","Jeremih",91,20,1
"778",2013,"Birthday Song","2 Chainz Featuring Kanye West",100,20,2
"779",2013,"Bitch, Don't Kill My Vibe","Kendrick Lamar",100,21,3
"780",2005,"Bitches Ain't S**t","Ben Folds",71,1,1
"781",2010,"Bittersweet","Fantasia",94,12,1
"782",2001,"Bizounce","Olivia",94,14,1
"783",2017,"Black","Dierks Bentley",98,19,4
"784",2018,"Black & Chinese","Huncho Jack",71,1,1
"785",2011,"Black And Yellow","Wiz Khalifa",100,25,2
"786",2000,"Black Balloon","Goo Goo Dolls",16,34,1
"787",2017,"Black Barbies","Nicki Minaj X Mike WiLL Made-It",97,2,2
"788",2017,"Black Beatles","Rae Sremmurd Featuring Gucci Mane",96,27,1
"789",2006,"Black Horse & The Cherry Tree","KT Tunstall",91,30,1
"790",2011,"Black Horse And The Cherry Tree","Casey Weston",90,1,1
"791",2015,"Black Magic","Little Mix",99,8,1
"792",2012,"Black Or White","Glee Cast",64,1,1
"793",2018,"Black Panther","Kendrick Lamar",91,1,1
"794",2010,"Black Rain","Soundgarden",96,1,1
"795",2013,"Black Skinhead","Kanye West",69,4,1
"796",2017,"Black SpiderMan","Logic Featuring Damian Lemar Hudson",87,1,1
"797",2002,"Black Suits Comin' (Nod Ya Head)","Will Smith Featuring Tra-Knox",77,3,1
"798",2006,"Black Sweat","Prince",60,1,1
"799",2015,"Black Widow","Iggy Azalea Featuring Rita Ora",97,30,1
"800",2011,"Blackbird","Glee Cast",37,1,1
"801",2012,"Blackout","Breathe Carolina",92,20,1
"802",2016,"Blackstar","David Bowie",78,1,1
"803",2010,"Blah Blah Blah","Ke$ha Featuring 3OH!3",7,20,1
"804",2015,"Blame","Calvin Harris Featuring John Newman",31,20,1
"805",2009,"Blame It","Jamie Foxx Featuring T-Pain",98,27,1
"806",2011,"Blame It (On The Alcohol)","Glee Cast",55,1,1
"807",2018,"Blame It On Me","Post Malone",47,2,1
"808",2015,"Blank Space","I Prevail",90,1,1
"809",2015,"Blank Space","Taylor Swift",18,36,1
"810",2016,"Blase","Ty Dolla $ign Featuring Future & Rae Sremmurd",85,18,1
